injury_notes,last_name,birth_date,oddsjam_id,fantasy_data_id,birth_state,gsis_id,first_name,active,injury_start_date,rotoworld_id,number,injury_body_part,search_first_name,metadata,competitions,age,birth_country,weight,status,hashtag,height,rotowire_id,years_exp,search_full_name,sport,practice_participation,search_rank,birth_city,player_id,news_updated,high_school,pandascore_id,swish_id,stats_id,yahoo_id,position,full_name,team,injury_status,college,espn_id,depth_chart_order,practice_description,search_last_name,team_abbr,depth_chart_position,sportradar_id,team_changed_at,fantasy_positions,opta_id
,Straughter,1998-10-16,,,,,Corey,True,,,0.0,,corey,{'channel_id': '1116853451070898176'},[],23.0,,183,Active,#coreystraughter-NFL-FA-0,70,15702.0,1.0,coreystraughter,nfl,,,,8012,,Neville (LA),,1067387.0,,,CB,Corey Straughter,,,Louisiana-Monroe,,,,straughter,,,a01a9064-c0c3-4f3e-8753-89f5859879f9,,['DB'],
,Rose,1997-10-14,,,,,A.J.,True,,,24.0,,aj,{'channel_id': '1116853435631665152'},[],24.0,,212,Active,#ajrose-NFL-FA-24,73,15350.0,1.0,ajrose,nfl,,311.0,,7918,1661021115529.0,Garfield Heights (OH),,920059.0,,,RB,A.J. Rose,,,Kentucky,,,,rose,,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,,['RB'],
,Pears,1982-06-25,,12610.0,,,Erik,False,,,71.0,,erik,,[],38.0,,316,Inactive,#erikpears-NFL-FA-71,"6'8""",7124.0,15.0,erikpears,nfl,,9999999.0,,777,,John F. Kennedy (CO),,,,7588.0,T,Erik Pears,,,Colorado State,9399.0,,,pears,,,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,,['OL'],
,Hawthorne,,,,,,Decarius,True,,,92.0,,decarius,"{'channel_id': '1238264321964769280', 'rookie_year': '2025'}",[],,,290,Active,#decariushawthorne-NFL-FA-92,74,19197.0,0.0,decariushawthorne,nfl,,9999999.0,,13229,1756107953603.0,Center Point (AL),,,,,DL,Decarius Hawthorne,,,South Florida,,,,hawthorne,,,3e838e40-4637-11f0-8b96-73caf6d6c117,,['DL'],
,Jeune,1993-12-03,,20526.0,,,Ricky,True,,,2.0,,ricky,{'channel_id': '1116853100703907840'},[],28.0,,212,Active,#rickyjeune-NFL-FA-2,75,13096.0,4.0,rickyjeune,nfl,,9999999.0,,5428,1535476203701.0,Saint Joseph Regional (NJ),,,748570.0,31388.0,WR,Ricky Jeune,,,Georgia Tech,3055908.0,,,jeune,,,e5395ca3-47d0-403b-84f5-41bfeba78e67,,['WR'],
,Colvin,1991-10-02,,16249.0,,00-0031259,Aaron,True,,9348.0,34.0,,aaron,{'channel_id': '1116852771618816000'},[],30.0,,191,Active,#aaroncolvin-NFL-FA-34,72,9337.0,8.0,aaroncolvin,nfl,,9999999.0,,1982,1599351058114.0,Owasso (OK),,,542873.0,27642.0,CB,Aaron Colvin,,,Oklahoma,16900.0,,,colvin,,,76c630cf-0fd3-4210-a73d-9347da9d9d66,,['DB'],
,Wilson,,,,,,Marquis,True,,,,,marquis,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",[],,,185,Active,#marquiswilson-NFL-FA,71,,1.0,marquiswilson,nfl,,9999999.0,,12376,,Avon Old Farms (CT),,,,,DB,Marquis Wilson,,,Purdue,,,,wilson,,,07923890-0e3a-11ef-9a4a-c565d3259077,,['DB'],
,Uphoff,1998-01-22,,,,,Christian,True,,,0.0,,christian,{'channel_id': '1116853428480376832'},[],23.0,,195,Active,#christianuphoff-NFL-FA-0,75,15476.0,1.0,christianuphoff,nfl,,,,7882,,Washington (IL),,943834.0,,,DB,Christian Uphoff,,,Illinois State,,,,uphoff,,,2b02fad4-574c-4a40-ab7d-43aca2142b66,,['DB'],
,Hummel,1999-01-04,6592B272CCBB,,,,Jake,True,,,35.0,,jake,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",[],26.0,,235,Active,#jakehummel-NFL-BAL-35,73,16270.0,3.0,jakehummel,nfl,,9999999.0,,8733,1753806622728.0,Dowling Catholic (IA),,1058624.0,,,LB,Jake Hummel,BAL,,Iowa State,,2.0,,hummel,,RILB,0c7ceb00-d207-11ec-ab20-b37737d70cc4,,['LB'],
,Gabbert,2000-08-04,0D57BED3D0B2DB99,,,,Brett,True,,,16.0,,brett,"{'channel_id': '1231394003711180800', 'rookie_year': '0'}",[],24.0,,206,Active,#brettgabbert-NFL-FA-16,72,19192.0,0.0,brettgabbert,nfl,,999.0,,13221,1754250907948.0,Christian Brothers College (MO),,,,,QB,Brett Gabbert,,,Miami (OH),,,,gabbert,,,08f0fef0-3748-11f0-9677-41d005293433,,['QB'],
,Kapp,1999-04-07,,,,,Jerome,True,,,31.0,,jerome,{'channel_id': '1116852698889584640'},[],24.0,,210,Active,#jeromekapp-NFL-FA-31,75,17644.0,1.0,jeromekapp,nfl,,622.0,,11522,1693334405078.0,Boyertown Area Senior (PA),,1448292.0,,,WR,Jerome Kapp,,,Kutztown,,,,kapp,,,64c0ef00-fa65-11ed-b161-c5ef733b4e80,,['WR'],
,Boyle,1993-02-17,,16931.0,,00-0031598,Nick,True,,10547.0,86.0,,nick,{'channel_id': '1116852808646131712'},[],29.0,,261,Active,#nickboyle-NFL-FA-86,76,10252.0,8.0,nickboyle,nfl,,9999999.0,,2474,1673388617497.0,High Point Regional (NJ),,608753.0,608753.0,28559.0,TE,Nick Boyle,,,Delaware,2574591.0,,,boyle,,,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,,['TE'],
,Clary,1999-05-07,,,,,Ty,True,,,0.0,,ty,"{'channel_id': '1116853538769600512', 'rookie_year': ''}",[],25.0,,299,Active,#tyclary-NFL-FA-0,76,,0.0,tyclary,nfl,,9999999.0,,8852,,Fayetteville (AR),,1060719.0,,,OL,Ty Clary,,,Arkansas,,,,clary,,,c22d7080-d3b2-11ec-96a0-c3471a31202c,,['OL'],
,Shampklin,1999-10-18,8C27E3A10D7A,,,,Aaron,True,,,48.0,,aaron,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",[],25.0,,195,Active,#aaronshampklin-NFL-FA-48,70,16367.0,3.0,aaronshampklin,nfl,,672.0,,8809,1756225808845.0,Long Beach Polytechnic (CA),,1051044.0,,,RB,Aaron Shampklin,,,Harvard,,,,shampklin,,,c09be300-d30d-11ec-8b77-45b1765fd110,,['RB'],
,Washington,2002-03-21,6C394246A6D8,,,,Parker,True,,,11.0,,parker,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",[],23.0,,204,Active,#parkerwashington-NFL-JAX-11,70,16690.0,2.0,parkerwashington,nfl,,444.0,,9487,1754590841195.0,Travis (TX),,1229074.0,,,WR,Parker Washington,JAX,,Penn State,,5.0,,washington,,SWR,c05863ec-3414-4ae6-a8d2-830aed99b6d3,,['WR'],
,Stone,1999-04-19,403AA74AF980,21931.0,,,Geno,True,,,22.0,,geno,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",[],26.0,,210,Active,#genostone-NFL-CIN-22,71,14474.0,5.0,genostone,nfl,,624.0,,6923,1755272458117.0,New Castle (PA),,1059222.0,,32889.0,DB,Geno Stone,CIN,,Iowa,4240575.0,1.0,,stone,,FS,95f3b8ac-e10f-4f0d-8650-b464b37ded86,,['DB'],
,Manziel,1992-12-06,,16135.0,,,Johnny,False,,9271.0,2.0,,johnny,,[],27.0,,210,Inactive,#johnnymanziel-NFL-FA-2,"6'0""",9246.0,6.0,johnnymanziel,nfl,,9999999.0,,1907,1552834853016.0,Tivy (TX),,,593578.0,27550.0,QB,Johnny Manziel,,,Texas A&M,16736.0,,,manziel,,,7ebbfdef-1185-4896-a323-e6d5669a8345,,['QB'],
,Gaziano,1996-09-27,4F578D605AAF,22317.0,,,Joe,True,,,90.0,,joe,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",[],28.0,,280,Active,#joegaziano-NFL-FA-90,76,15065.0,5.0,joegaziano,nfl,,9999999.0,,7325,1754644241341.0,Xaverian Brothers (MA),,880210.0,,32982.0,DE,Joe Gaziano,,,Northwestern,3915990.0,,,gaziano,,,bab100c6-1a6c-4411-9286-f719244f5d35,,['DL'],
,Williams,1997-07-02,,,,,Jarrid,True,,,76.0,,jarrid,{'channel_id': '1116853519173812224'},[],26.0,,308,Active,#jarridwilliams-NFL-FA-76,78,16329.0,1.0,jarridwilliams,nfl,,9999999.0,,8716,1691094646911.0,Cedar Hill (TX),,877900.0,,,OL,Jarrid Williams,,,Miami (FL),,,,williams,,,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,,['OL'],
,Ruble,1996-01-07,,21539.0,, 00-0035477,Brock,True,,,72.0,,brock,{'channel_id': '1116853286427688960'},[],26.0,,325,Active,#brockruble-NFL-FA-72,80,14291.0,3.0,brockruble,nfl,,9999999.0,,6648,,DeMatha Catholic,,,,32485.0,OT,Brock Ruble,,,Toledo,3122934.0,,,ruble,,,89fc014a-7d41-40c9-90d1-1459286813e2,,['OL'],
,Grant,1992-10-30,2CDE42756969,18103.0,,00-0032791,Jakeem,True,,11475.0,84.0,,jakeem,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",[],32.0,,172,Active,#jakeemgrant-NFL-FA-84,67,10990.0,8.0,jakeemgrant,nfl,,662.0,,3342,1734242151808.0,Horn (TX),,605325.0,605325.0,29420.0,WR,Jakeem Grant,,,Texas Tech,2577641.0,,,grant,,,5de11f0b-8da9-42ba-9a93-db7f0a58543b,,['WR'],
,Brown,1990-01-08,,15509.0,,00-0030300,Jaron,True,,8869.0,18.0,,jaron,{'channel_id': '1116852755042926592'},[],32.0,,205,Active,#jaronbrown-NFL-FA-18,75,9046.0,9.0,jaronbrown,nfl,,763.0,,1684,1602620149319.0,Cheraw (SC),,,463514.0,27074.0,WR,Jaron Brown,,,Clemson,16172.0,,,brown,,,51952c7b-11c5-4229-baf9-08d4694cc2ad,,['WR'],
,Murray,1994-01-07,DFF0CE83247F,18029.0,,00-0033038,Eric,True,,,29.0,,eric,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",[],31.0,,199,Active,#ericmurray-NFL-JAX-29,71,11141.0,9.0,ericmurray,nfl,,9999999.0,,3268,1741674361581.0,Riverside (WI),,651636.0,,29340.0,DB,Eric Murray,JAX,,Minnesota,2970716.0,1.0,,murray,,SS,16e4ffec-959d-4210-8702-36c0bf20dda5,,['DB'],
,Morrow,1995-07-10,DB8EDD57A8EC,19310.0,,00-0033445,Nicholas,True,,,43.0,,nicholas,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",[],29.0,,216,Active,#nicholasmorrow-NFL-FA-43,72,12428.0,8.0,nicholasmorrow,nfl,,500.0,,4449,1735865416050.0,Huntsville (AL),,1050219.0,,30633.0,LB,Nicholas Morrow,,,Greenville,4232830.0,,,morrow,,,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,,['LB'],
,Pryor,1999-10-25,C7E7375D12FB,,,,Joshua,True,,,47.0,,joshua,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",[],24.0,,280,Active,#joshuapryor-NFL-FA-47,76,17615.0,1.0,joshuapryor,nfl,,9999999.0,,11072,1700343030178.0,Paul Laurence Dunbar (MD),,1334826.0,,,DL,Joshua Pryor,,,Bowie State,,,,pryor,,,fa4e3720-e760-11ed-a510-95de71e69612,,['DL'],
,Ahmed,1998-12-30,998715B4D91F,21843.0,,,Salvon,True,,,36.0,Ankle,salvon,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",[],26.0,,197,Inactive,#salvonahmed-NFL-IND-36,71,14453.0,5.0,salvonahmed,nfl,,356.0,,6918,1754694945192.0,Juanita (WA),,1049246.0,,33265.0,RB,Salvon Ahmed,IND,IR,Washington,4243315.0,4.0,,ahmed,,RB,0dbbd211-0372-4751-9751-e4df4ab1f8eb,,['RB'],
,Sweeney,1995-07-01,BAB992EBEF7A,20957.0,, 00-0035308,Tommy,True,,,87.0,Undisclosed,tommy,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",[],29.0,,255,Active,#tommysweeney-NFL-FA-87,77,13667.0,6.0,tommysweeney,nfl,,9999999.0,,6137,1729806320462.0,Don Bosco Prep (NJ),,836094.0,836094.0,32060.0,TE,Tommy Sweeney,,Out,Boston College,3122818.0,,,sweeney,,,ec63ee49-3a03-44ca-a083-3916f0bccd76,,['TE'],
,Ivey,,DD416D5CB3BFBAA4,,,,Jason,True,,,72.0,,jason,"{'channel_id': '1222062624800247808', 'rookie_year': '2025'}",[],,,300,Active,#jasonivey-NFL-FA-72,77,,0.0,jasonivey,nfl,,9999999.0,,12784,,South Mecklenburg (NC),,,,,OL,Jason Ivey,,,North Carolina A&T,,,,ivey,,,692c0a10-2313-11f0-8b96-b1b768d28795,,['OL'],
,Williams,2004-06-29,8E27972C8FB706B4,,,,Mykel,True,,,98.0,Ankle,mykel,"{'channel_id': '1221352992523952128', 'rookie_year': '2025', 'source_id': '54326870-84a6-11ec-a2e6-affc80bcd2fc'}",[],21.0,,267,Active,#mykelwilliams-NFL-SF-98,79,18584.0,0.0,mykelwilliams,nfl,,332.0,,12602,1755373814774.0,Hardaway (GA),,,,,DL,Mykel Williams,SF,Questionable,Georgia,,1.0,,williams,,RDE,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,,['DL'],
,Cecil,1999-12-29,,,,,Brad,True,,,,,brad,"{'channel_id': '1116852678471712768', 'rookie_year': '2023'}",[],25.0,,300,Active,#bradcecil-NFL-FA,76,,2.0,bradcecil,nfl,,9999999.0,,11340,,Bartram Trail (FL),,1124148.0,,,OL,Brad Cecil,,,South Florida,,,,cecil,,,c242e360-ec6c-11ed-9b1c-797c54fc9d07,,['OL'],
,Stinnie,1994-02-18,15D6D87D37FB,20379.0,,00-0034668,Aaron,True,,,64.0,,aaron,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",[],31.0,,312,Active,#aaronstinnie-NFL-NYG-64,75,13303.0,7.0,aaronstinnie,nfl,,9999999.0,,5668,1743032417495.0,St. Anne's-Belfield (VA),,750486.0,,31619.0,G,Aaron Stinnie,NYG,,James Madison,3049339.0,,,stinnie,,OL,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,,"['OG', 'OL']",
,Roberts,2001-09-22,9148DF6B7A1F3CAA,,,,JJ,True,,,36.0,Knee,jj,"{'channel_id': '1223497110247190528', 'rookie_year': '2025'}",[],23.0,,195,Inactive,#jjroberts-NFL-TB-36,72,19064.0,0.0,jjroberts,nfl,,699.0,,13132,1755570034925.0,Cabell Midland (WV),,,,,DB,JJ Roberts,TB,IR,Marshall,,,,roberts,,DB,266a09c0-262e-11f0-9779-dd9f3cf183b7,,['DB'],
,Williams,1993-02-24,,18334.0,,00-0032583,Bryce,True,,,80.0,,bryce,{'channel_id': '1116852875503337472'},[],28.0,,258,Active,#brycewilliams-NFL-FA-80,78,10946.0,6.0,brycewilliams,nfl,,9999999.0,,3561,1523486701657.0,North Davidson,,,609814.0,29879.0,TE,Bryce Williams,,,East Carolina,2981998.0,,,williams,,,a204547e-ecd3-4116-909a-ce823caa9067,,['TE'],
,Whalen,1989-07-26,,12857.0,,,Ryan,False,,,81.0,,ryan,,[],29.0,,202,Inactive,#ryanwhalen-NFL-FA-81,"6'1""",7411.0,3.0,ryanwhalen,nfl,,9999999.0,,832,,,,,,24954.0,WR,Ryan Whalen,,,Stanford,14131.0,,,whalen,,,4a99b4bf-e03e-4253-8b9b-c070ef796daf,,['WR'],
,Williams,2003-10-16,E4D4B612B4AACB3B,,,,Cameron,True,,,73.0,,cameron,"{'channel_id': '1221987078728855552', 'rookie_year': '2025', 'source_id': 'cfa4c670-8f54-11ec-9f33-1965c9c46e44'}",[],21.0,,317,Active,#cameronwilliams-NFL-PHI-73,77,18504.0,0.0,cameronwilliams,nfl,,9999999.0,,12586,1745702136125.0,Duncanville (TX),,,,,OL,Cameron Williams,PHI,,Texas,,,,williams,,OL,8b7504e3-c5ce-4e91-90d1-2bd8e975c5ed,,['OL'],
,Player,,,21668.0,,,Duplicate,False,,12292.0,0.0,,duplicate,,[],,,,Inactive,#duplicateplayer-NFL-FA-0,,,0.0,duplicateplayer,nfl,,9999999.0,,6751,,,,,820437.0,,,Duplicate Player,,,,,,,player,,,,,,
,Murphy,1993-12-11,,18117.0,,00-0032433,Kyle,True,,,79.0,,kyle,{'channel_id': '1116852854489874432'},[],28.0,,305,Active,#kylemurphy-NFL-NO-79,78,11140.0,6.0,kylemurphy,nfl,,9999999.0,,3356,1640054416821.0,San Clemente (CA),,691007.0,,29434.0,OT,Kyle Murphy,NO,,Stanford,2978275.0,,,murphy,,,cce52ea1-7e17-4992-8911-e6b07b7b3831,,"['OL', 'OT']",
