RK,TIERS,PLAYER NAME,TEAM,POS,BYE,UPSIDE ,BUST ,SOS,ECR VS ADP,PLAYER NAME_CLEAN,Matched Name,player_id,full_name,first_name,last_name,position,team,team_abbr,fantasy_positions,active,status,age,height,weight,college,years_exp,injury_status,injury_notes,injury_body_part,practice_description,practice_participation,birth_city,birth_state,birth_country,birth_date,team_changed_at,full_name_clean,is_rookie,is_lottery_ticket,handcuff,is_fantasypros_sleeper,num,player,RK_DIFF
11,2,Christian McCaffrey,SF,RB4,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-4,christian mccaffrey,christian mccaffrey,4034,Christian McCaffrey,Christian,McCaffrey,RB,SF,,['RB'],True,Active,29.0,71,210.0,Stanford,8.0,,,,,,,,,1996-06-07,,christian mccaffrey,False,False,Brian Robinson Jr.,False,14.0,Christian McCaffrey,-3.0
12,2,Brian Thomas Jr.,JAC,WR8,8,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+3,brian thomas,brian thomas,11631,Brian Thomas,Brian,Thomas,WR,JAX,,['WR'],True,Active,22.0,74,209.0,LSU,1.0,,,,,,,,,2002-10-08,,brian thomas,False,False,,False,9.0,Brian Thomas Jr.,3.0
13,2,Drake London,ATL,WR9,5,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+4,drake london,drake london,8112,Drake London,Drake,London,WR,ATL,,['WR'],True,Active,24.0,76,215.0,USC,3.0,,,,,,,,,2001-07-24,,drake london,False,False,,False,15.0,Drake London,-2.0
14,3,A.J. Brown,PHI,WR10,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+6,a.j. brown,a.j. brown,5859,A.J. Brown,A.J.,Brown,WR,PHI,,['WR'],True,Active,28.0,73,226.0,Ole Miss,6.0,Questionable,,Hamstring,,,,,,1997-06-30,,a.j. brown,False,False,,False,17.0,A.J. Brown,-3.0
15,3,Ladd McConkey,LAC,WR11,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+11,ladd mcconkey,ladd mcconkey,11635,Ladd McConkey,Ladd,McConkey,WR,LAC,,['WR'],True,Active,23.0,72,185.0,Georgia,1.0,,,,,,,,,2001-11-11,,ladd mcconkey,False,False,,False,23.0,Ladd McConkey,-8.0
16,3,Brock Bowers,LV,TE1,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+2,brock bowers,brock bowers,11604,Brock Bowers,Brock,Bowers,TE,LV,,['TE'],True,Active,22.0,76,235.0,Georgia,1.0,,,,,,,,,2002-12-13,,brock bowers,False,False,,False,19.0,Brock Bowers,-3.0
17,3,Ashton Jeanty,LV,RB5,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-6,ashton jeanty,ashton jeanty,12527,Ashton Jeanty,Ashton,Jeanty,RB,LV,,['RB'],True,Active,21.0,68,208.0,Boise State,0.0,,,,,,,,,2003-12-02,,ashton jeanty,True,False,Zamir White,False,13.0,Ashton Jeanty,4.0
18,3,De'Von Achane,MIA,RB6,12,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-4,de'von achane,de'von achane,9226,De'Von Achane,De'Von,Achane,RB,MIA,,['RB'],True,Active,23.0,69,191.0,Texas A&M,2.0,Questionable,,Lower Body,,,,,,2001-10-13,,de'von achane,False,False,Ollie Gordon II,False,21.0,De'Von Achane,-3.0
19,3,Jaxon Smith-Njigba,SEA,WR12,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+14,jaxon smith-njigba,jaxon smith-njigba,9488,Jaxon Smith-Njigba,Jaxon,Smith-Njigba,WR,SEA,,['WR'],True,Active,23.0,72,197.0,Ohio State,2.0,,,,,,,,,2002-02-14,,jaxon smith-njigba,False,False,,False,32.0,Jaxon Smith-Njigba,-13.0
20,3,Trey McBride,ARI,TE2,8,Coach Upside rating,Coach Bust rating,5 out of 5 stars,+7,trey mcbride,trey mcbride,8130,Trey McBride,Trey,McBride,TE,ARI,,['TE'],True,Active,25.0,76,246.0,Colorado State,3.0,,,,,,,,,1999-11-22,,trey mcbride,False,False,,False,30.0,Trey McBride,-10.0
21,4,Tee Higgins,CIN,WR13,10,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+8,tee higgins,tee higgins,6801,Tee Higgins,Tee,Higgins,WR,CIN,,['WR'],True,Active,26.0,76,220.0,Clemson,5.0,,,,,,,,,1999-01-18,,tee higgins,False,False,,False,28.0,Tee Higgins,-7.0
22,4,Derrick Henry,BAL,RB7,7,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-12,derrick henry,derrick henry,3198,Derrick Henry,Derrick,Henry,RB,BAL,,['RB'],True,Active,31.0,74,252.0,Alabama,9.0,,,,,,,,,1994-01-04,,derrick henry,False,False,Keaton Mitchell,False,7.0,Derrick Henry,15.0
23,4,Josh Allen,BUF,QB1,7,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-2,josh allen,josh allen,2212,Josh Allen,Josh,Allen,G,,,['OL'],False,Inactive,30.0,75,315.0,Louisiana-Monroe,8.0,,,,,,,,,1991-12-30,,josh allen,False,False,,False,26.0,Josh Allen,-3.0
24,4,Lamar Jackson,BAL,QB2,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,0,lamar jackson,lamar jackson,4881,Lamar Jackson,Lamar,Jackson,QB,BAL,,['QB'],True,Active,28.0,74,205.0,Louisville,7.0,Questionable,,Hand,,,,,,1997-01-07,,lamar jackson,False,False,,False,27.0,Lamar Jackson,-3.0
25,4,Garrett Wilson,NYJ,WR14,9,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+16,garrett wilson,garrett wilson,8146,Garrett Wilson,Garrett,Wilson,WR,NYJ,,['WR'],True,Active,25.0,72,183.0,Ohio State,3.0,,,,,,,,,2000-07-22,,garrett wilson,False,False,,False,39.0,Garrett Wilson,-14.0
26,4,Chase Brown,CIN,RB8,10,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-4,chase brown,chase brown,9224,Chase Brown,Chase,Brown,RB,CIN,,['RB'],True,Active,25.0,70,210.0,Illinois,2.0,,,,,,,,,2000-03-21,,chase brown,False,False,Tahj Brooks,False,25.0,Chase Brown,1.0
27,4,Bucky Irving,TB,RB9,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-4,bucky irving,bucky irving,11584,Bucky Irving,Bucky,Irving,RB,TB,,['RB'],True,Active,23.0,70,195.0,Oregon,1.0,,,,,,,,,2002-08-19,,bucky irving,False,False,Rachaad White,False,22.0,Bucky Irving,5.0
28,4,Tyreek Hill,MIA,WR15,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+3,tyreek hill,tyreek hill,3321,Tyreek Hill,Tyreek,Hill,WR,MIA,,['WR'],True,Active,31.0,70,191.0,West Alabama,9.0,Questionable,,Undisclosed,,,,,,1994-03-01,,tyreek hill,False,False,,False,34.0,Tyreek Hill,-6.0
29,4,Josh Jacobs,GB,RB10,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-13,josh jacobs,josh jacobs,5850,Josh Jacobs,Josh,Jacobs,RB,GB,,['RB'],True,Active,27.0,70,223.0,Alabama,6.0,,,,,,,,,1998-02-11,,josh jacobs,False,False,Chris Brooks,False,18.0,Josh Jacobs,11.0
30,4,George Kittle,SF,TE3,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+8,george kittle,george kittle,4217,George Kittle,George,Kittle,TE,SF,,['TE'],True,Active,31.0,76,250.0,Iowa,8.0,,,,,,,,,1993-10-09,,george kittle,False,False,,False,20.0,George Kittle,10.0
31,4,Mike Evans,TB,WR16,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+8,mike evans,mike evans,2216,Mike Evans,Mike,Evans,WR,TB,,['WR'],True,Active,32.0,77,231.0,Texas A&M,11.0,,,,,,,,,1993-08-21,,mike evans,False,False,,False,29.0,Mike Evans,2.0
32,4,Davante Adams,LAR,WR17,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+10,davante adams,davante adams,2133,Davante Adams,Davante,Adams,WR,LAR,,['WR'],True,Active,32.0,73,215.0,Fresno State,11.0,,,,,,,,,1992-12-24,,davante adams,False,False,,False,35.0,Davante Adams,-3.0
33,4,Jonathan Taylor,IND,RB11,11,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-14,jonathan taylor,jonathan taylor,6813,Jonathan Taylor,Jonathan,Taylor,RB,IND,,['RB'],True,Active,26.0,70,226.0,Wisconsin,5.0,,,,,,,,,1999-01-19,,jonathan taylor,False,False,DJ Giddens,False,16.0,Jonathan Taylor,17.0
34,4,Jayden Daniels,WAS,QB3,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-4,jayden daniels,jayden daniels,11566,Jayden Daniels,Jayden,Daniels,QB,WAS,,['QB'],True,Active,24.0,76,210.0,LSU,1.0,,,,,,,,,2000-12-18,,jayden daniels,False,False,,False,31.0,Jayden Daniels,3.0
35,5,Marvin Harrison Jr.,ARI,WR18,8,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+9,marvin harrison,marvin harrison,11628,Marvin Harrison,Marvin,Harrison,WR,ARI,,['WR'],True,Active,23.0,75,220.0,Ohio State,1.0,,,,,,,,,2002-08-11,,marvin harrison,False,False,,False,40.0,Marvin Harrison Jr.,-5.0
36,5,Terry McLaurin,WAS,WR19,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+4,terry mclaurin,terry mclaurin,5927,Terry McLaurin,Terry,McLaurin,WR,WAS,,['WR'],True,Active,29.0,72,210.0,Ohio State,6.0,,,,,,,,,1995-09-15,,terry mclaurin,False,False,,False,41.0,Terry McLaurin,-5.0
37,5,Jalen Hurts,PHI,QB4,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-3,jalen hurts,jalen hurts,6904,Jalen Hurts,Jalen,Hurts,QB,PHI,,['QB'],True,Active,27.0,73,223.0,Oklahoma,5.0,,,,,,,,,1998-08-07,,jalen hurts,False,False,,False,36.0,Jalen Hurts,1.0
38,5,Kyren Williams,LAR,RB12,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-13,kyren williams,kyren williams,8150,Kyren Williams,Kyren,Williams,RB,LAR,,['RB'],True,Active,25.0,69,202.0,Notre Dame,3.0,,,,,,,,,2000-08-26,,kyren williams,False,False,Blake Corum,False,24.0,Kyren Williams,14.0
39,5,DJ Moore,CHI,WR20,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+10,dj moore,dj moore,4961,DJ Moore,DJ,Moore,CB,,,['DB'],False,Inactive,33.0,"5'9""",183.0,Vanderbilt,11.0,,,,,,,,,1987-03-22,,dj moore,False,False,,False,51.0,DJ Moore,-12.0
40,5,Courtland Sutton,DEN,WR21,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+11,courtland sutton,courtland sutton,5045,Courtland Sutton,Courtland,Sutton,WR,DEN,,['WR'],True,Active,29.0,76,216.0,SMU,7.0,,,,,,,,,1995-10-10,,courtland sutton,False,False,,False,47.0,Courtland Sutton,-7.0
41,5,Alvin Kamara,NO,RB13,11,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-5,alvin kamara,alvin kamara,4035,Alvin Kamara,Alvin,Kamara,RB,NO,,['RB'],True,Active,30.0,70,215.0,Tennessee,8.0,,,,,,,,,1995-07-25,,alvin kamara,False,False,Kendre Miller,False,49.0,Alvin Kamara,-8.0
42,5,Tetairoa McMillan,CAR,WR22,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+18,tetairoa mcmillan,tetairoa mcmillan,12526,Tetairoa McMillan,Tetairoa,McMillan,WR,CAR,,['WR'],True,Active,22.0,77,212.0,Arizona,0.0,Questionable,,Hamstring,,,,,,2003-04-05,,tetairoa mcmillan,True,False,,False,54.0,Tetairoa McMillan,-12.0
43,5,DK Metcalf,PIT,WR23,5,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+5,dk metcalf,dk metcalf,5846,DK Metcalf,DK,Metcalf,WR,PIT,,['WR'],True,Active,27.0,76,229.0,Ole Miss,6.0,,,,,,,,,1997-12-14,,dk metcalf,False,False,,False,44.0,DK Metcalf,-1.0
44,5,James Cook,BUF,RB14,7,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-16,james cook,james cook,8138,James Cook,James,Cook,RB,BUF,,['RB'],True,Active,25.0,71,190.0,Georgia,3.0,,,,,,,,,1999-09-25,,james cook,False,False,Ray Davis,False,33.0,James Cook,11.0
45,5,Kenneth Walker III,SEA,RB15,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-2,kenneth walker,kenneth walker,4634,Kenneth Walker,Kenneth,Walker,WR,,,['WR'],False,Active,27.0,70,190.0,UCLA,5.0,,,,,,,,,1994-04-01,,kenneth walker,False,False,Zach Charbonnet,False,38.0,Kenneth Walker III,7.0
46,5,Omarion Hampton,LAC,RB16,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-11,omarion hampton,omarion hampton,12507,Omarion Hampton,Omarion,Hampton,RB,LAC,,['RB'],True,Active,22.0,72,220.0,North Carolina,0.0,,,,,,,,,2003-03-16,,omarion hampton,True,False,Najee Harris,False,37.0,Omarion Hampton,9.0
47,5,DeVonta Smith,PHI,WR24,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+8,devonta smith,devonta smith,7525,DeVonta Smith,DeVonta,Smith,WR,PHI,,['WR'],True,Active,26.0,72,170.0,Alabama,4.0,Questionable,,Groin,,,,,,1998-11-14,,devonta smith,False,False,,False,57.0,DeVonta Smith,-10.0
48,5,Joe Burrow,CIN,QB5,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-16,joe burrow,joe burrow,6770,Joe Burrow,Joe,Burrow,QB,CIN,,['QB'],True,Active,28.0,76,215.0,LSU,5.0,,,,,,,,,1996-12-10,,joe burrow,False,False,,False,43.0,Joe Burrow,5.0
49,5,Breece Hall,NYJ,RB17,9,Coach Upside rating,Coach Bust rating,5 out of 5 stars,-12,breece hall,breece hall,8155,Breece Hall,Breece,Hall,RB,NYJ,,['RB'],True,Active,24.0,71,217.0,Iowa State,3.0,,,,,,,,,2001-05-31,,breece hall,False,False,Braelon Allen,False,42.0,Breece Hall,7.0
50,6,Jaylen Waddle,MIA,WR25,12,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+22,jaylen waddle,jaylen waddle,7526,Jaylen Waddle,Jaylen,Waddle,WR,MIA,,['WR'],True,Active,26.0,70,185.0,Alabama,4.0,,,,,,,,,1998-11-25,,jaylen waddle,False,False,,False,65.0,Jaylen Waddle,-15.0
51,6,Xavier Worthy,KC,WR26,10,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+2,xavier worthy,xavier worthy,11624,Xavier Worthy,Xavier,Worthy,WR,KC,,['WR'],True,Active,22.0,71,165.0,Texas,1.0,,,,,,,,,2003-04-27,,xavier worthy,False,False,,False,52.0,Xavier Worthy,-1.0
52,6,Calvin Ridley,TEN,WR27,10,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+12,calvin ridley,calvin ridley,4981,Calvin Ridley,Calvin,Ridley,WR,TEN,,['WR'],True,Active,30.0,73,190.0,Alabama,7.0,Questionable,,General Soreness,,,,,,1994-12-20,,calvin ridley,False,False,,False,53.0,Calvin Ridley,-1.0
53,6,Chuba Hubbard,CAR,RB18,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-8,chuba hubbard,chuba hubbard,7594,Chuba Hubbard,Chuba,Hubbard,RB,CAR,,['RB'],True,Active,26.0,73,210.0,Oklahoma State,4.0,,,,,,,,,1999-06-11,,chuba hubbard,False,False,Rico Dowdle,False,45.0,Chuba Hubbard,8.0
54,6,George Pickens,DAL,WR28,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+12,george pickens,george pickens,8137,George Pickens,George,Pickens,WR,DAL,,['WR'],True,Active,24.0,75,200.0,Georgia,3.0,,,,,,,,,2001-03-04,,george pickens,False,False,,False,56.0,George Pickens,-2.0
55,6,James Conner,ARI,RB19,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-8,james conner,james conner,4137,James Conner,James,Conner,RB,ARI,,['RB'],True,Active,30.0,73,233.0,Pittsburgh,8.0,,,,,,,,,1995-05-05,,james conner,False,False,Trey Benson,False,46.0,James Conner,9.0
56,6,TreVeyon Henderson,NE,RB20,14,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-10,treveyon henderson,treveyon henderson,12529,TreVeyon Henderson,TreVeyon,Henderson,RB,NE,,['RB'],True,Active,22.0,70,202.0,Ohio State,0.0,,,,,,,,,2002-10-22,,treveyon henderson,True,False,Rhamondre Stevenson,False,50.0,TreVeyon Henderson,6.0
57,6,Zay Flowers,BAL,WR29,7,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+2,zay flowers,zay flowers,9997,Zay Flowers,Zay,Flowers,WR,BAL,,['WR'],True,Active,24.0,69,183.0,Boston College,2.0,,,,,,,,,2000-09-11,,zay flowers,False,False,,False,58.0,Zay Flowers,-1.0
58,6,Jameson Williams,DET,WR30,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-1,jameson williams,jameson williams,8148,Jameson Williams,Jameson,Williams,WR,DET,,['WR'],True,Active,24.0,73,182.0,Alabama,3.0,,,,,,,,,2001-03-26,,jameson williams,False,False,,False,48.0,Jameson Williams,10.0
59,6,Patrick Mahomes II,KC,QB6,10,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-9,patrick mahomes,patrick mahomes,4046,Patrick Mahomes,Patrick,Mahomes,QB,KC,,['QB'],True,Active,29.0,74,225.0,Texas Tech,8.0,,,,,,,,,1995-09-17,,patrick mahomes,False,False,,False,,,
60,6,Tony Pollard,TEN,RB21,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+8,tony pollard,tony pollard,5967,Tony Pollard,Tony,Pollard,RB,TEN,,['RB'],True,Active,28.0,72,209.0,Memphis,6.0,,,,,,,,,1997-04-30,,tony pollard,False,False,Tyjae Spears,False,62.0,Tony Pollard,-2.0
61,6,Chris Olave,NO,WR31,11,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+17,chris olave,chris olave,8144,Chris Olave,Chris,Olave,WR,NO,,['WR'],True,Active,25.0,72,187.0,Ohio State,3.0,,,,,,,,,2000-06-27,,chris olave,False,False,,False,78.0,Chris Olave,-17.0
62,6,T.J. Hockenson,MIN,TE4,6,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+3,t.j. hockenson,t.j. hockenson,5844,T.J. Hockenson,T.J.,Hockenson,TE,MIN,,['TE'],True,Active,28.0,77,248.0,Iowa,6.0,,,,,,,,,1997-07-03,,t.j. hockenson,False,False,,False,71.0,T.J. Hockenson,-9.0
63,6,D'Andre Swift,CHI,RB22,5,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-9,d'andre swift,d'andre swift,6790,D'Andre Swift,D'Andre,Swift,RB,CHI,,['RB'],True,Active,26.0,68,204.0,Georgia,5.0,,,,,,,,,1999-01-14,,d'andre swift,False,False,Kyle Monangai,False,59.0,D'Andre Swift,4.0
64,6,RJ Harvey,DEN,RB23,12,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-3,rj harvey,rj harvey,12489,RJ Harvey,RJ,Harvey,RB,DEN,,['RB'],True,Active,24.0,68,205.0,UCF,0.0,,,,,,,,,2001-02-04,,rj harvey,True,False,,False,61.0,RJ Harvey,3.0
65,6,Sam LaPorta,DET,TE5,8,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-13,sam laporta,sam laporta,10859,Sam LaPorta,Sam,LaPorta,TE,DET,,['TE'],True,Active,24.0,75,245.0,Iowa,2.0,,,,,,,,,2001-01-12,,sam laporta,False,False,,False,60.0,Sam LaPorta,5.0
66,7,Isiah Pacheco,KC,RB24,10,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-8,isiah pacheco,isiah pacheco,8205,Isiah Pacheco,Isiah,Pacheco,RB,KC,,['RB'],True,Active,26.0,70,216.0,Rutgers,3.0,,,,,,,,,1999-03-02,,isiah pacheco,False,False,Kareem Hunt,False,63.0,Isiah Pacheco,3.0
67,7,David Montgomery,DET,RB25,8,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-11,david montgomery,david montgomery,5892,David Montgomery,David,Montgomery,RB,DET,,['RB'],True,Active,28.0,71,230.0,Iowa State,6.0,,,,,,,,,1997-06-07,,david montgomery,False,False,,False,55.0,David Montgomery,12.0
68,7,Travis Hunter,JAC,WR32,8,Coach Upside rating,Coach Bust rating,4 out of 5 stars,+2,travis hunter,travis hunter,12530,Travis Hunter,Travis,Hunter,WR,JAX,,"['DB', 'WR']",True,Active,22.0,73,185.0,Colorado,0.0,,,,,,,,,2003-05-18,,travis hunter,True,False,,False,73.0,Travis Hunter,-5.0
69,7,Jerry Jeudy,CLE,WR33,9,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+5,jerry jeudy,jerry jeudy,6783,Jerry Jeudy,Jerry,Jeudy,WR,CLE,,['WR'],True,Active,26.0,73,195.0,Alabama,5.0,,,,,,,,,1999-04-24,,jerry jeudy,False,False,,False,74.0,Jerry Jeudy,-5.0
70,7,Baker Mayfield,TB,QB7,9,Coach Upside rating,Coach Bust rating,2 out of 5 stars,-7,baker mayfield,baker mayfield,4892,Baker Mayfield,Baker,Mayfield,QB,TB,,['QB'],True,Active,30.0,73,215.0,Oklahoma,7.0,,,,,,,,,1995-04-14,,baker mayfield,False,False,,False,68.0,Baker Mayfield,2.0
71,7,Aaron Jones Sr.,MIN,RB26,6,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-4,aaron jones,aaron jones,4199,Aaron Jones,Aaron,Jones,RB,MIN,,['RB'],True,Active,30.0,70,208.0,UTEP,8.0,,,,,,,,,1994-12-02,,aaron jones,False,False,Jordan Mason,False,66.0,Aaron Jones Sr.,5.0
72,7,Bo Nix,DEN,QB8,12,Coach Upside rating,Coach Bust rating,4 out of 5 stars,-1,bo nix,bo nix,11563,Bo Nix,Bo,Nix,QB,DEN,,['QB'],True,Active,25.0,74,217.0,Oregon,1.0,,,,,,,,,2000-02-25,,bo nix,False,False,,False,69.0,Bo Nix,3.0
73,7,Rome Odunze,CHI,WR34,5,Coach Upside rating,Coach Bust rating,2 out of 5 stars,+4,rome odunze,rome odunze,11620,Rome Odunze,Rome,Odunze,WR,CHI,,['WR'],True,Active,23.0,75,214.0,Washington,1.0,,,,,,,,,2002-06-03,,rome odunze,False,False,,False,75.0,Rome Odunze,-2.0
74,7,Stefon Diggs,NE,WR35,14,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+8,stefon diggs,stefon diggs,2449,Stefon Diggs,Stefon,Diggs,WR,NE,,['WR'],True,Active,31.0,72,191.0,Maryland,10.0,Questionable,Surgery,Knee - ACL,,,,,,1993-11-29,,stefon diggs,False,False,,False,82.0,Stefon Diggs,-8.0
75,7,Travis Kelce,KC,TE6,10,Coach Upside rating,Coach Bust rating,3 out of 5 stars,-13,travis kelce,travis kelce,1466,Travis Kelce,Travis,Kelce,TE,KC,,['TE'],True,Active,35.0,77,250.0,Cincinnati,12.0,,,,,,,,,1989-10-05,,travis kelce,False,False,,False,86.0,Travis Kelce,-11.0
76,7,Emeka Egbuka,TB,WR36,9,Coach Upside rating,Coach Bust rating,3 out of 5 stars,+10,emeka egbuka,emeka egbuka,12514,Emeka Egbuka,Emeka,Egbuka,WR,TB,,['WR'],True,Active,22.0,73,205.0,Ohio State,0.0,,,,,,,,,2002-10-14,,emeka egbuka,True,False,,False,98.0,Emeka Egbuka,-22.0
