depth_chart_position,hashtag,years_exp,birth_city,sport,full_name,practice_description,yahoo_id,team_abbr,active,pandascore_id,metadata,depth_chart_order,college,search_rank,player_id,practice_participation,first_name,search_last_name,espn_id,status,swish_id,birth_date,opta_id,injury_status,gsis_id,birth_state,sportradar_id,height,injury_notes,oddsjam_id,search_full_name,stats_id,age,high_school,team_changed_at,birth_country,last_name,rotowire_id,number,fantasy_positions,weight,injury_body_part,injury_start_date,position,search_first_name,fantasy_data_id,team,rotoworld_id,competitions,news_updated
,#javinwhite-NFL-FA-60,4.0,,nfl,Javin White,,33318.0,,True,,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",,UNLV,9999999.0,7311,,Javin,white,3921709.0,Active,881687.0,1997-02-21,,,,,3f95afdc-2140-424b-8250-7d4e273c2efc,74,,8ADDCA292DD5,javinwhite,,27.0,McClymonds (CA),,,White,14902.0,60.0,"['DB', 'LB']",211,,,LB,javin,22303.0,,,[],1721609703351.0
,#bashaudbreeland-NFL-ARI-24,8.0,,nfl,Bashaud Breeland,,27630.0,,True,,{'channel_id': '1116852779298586624'},,Clemson,9999999.0,2091,,Bashaud,breeland,16890.0,Active,560235.0,1992-01-30,,, 00-0031052,,ba905b34-8412-4553-9055-3460368cc608,71,,,bashaudbreeland,560235.0,30.0,Allendale-Fairfax (SC),,,Breeland,9648.0,24.0,['DB'],197,,,CB,bashaud,16407.0,ARI,9585.0,[],1641345029845.0
,#kinkeaddent-NFL-FA,0.0,,nfl,Kinkead Dent,,,,True,,"{'channel_id': '1225943136610562048', 'rookie_year': '0'}",,Tennessee-Martin,9999999.0,13175,,Kinkead,dent,,Active,,2000-07-27,,,,,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,76,,,kinkeaddent,,24.0,Jackson Academy (MS),,,Dent,,,['QB'],215,,,QB,kinkead,,,,[],
K,#brandonaubrey-NFL-DAL-17,2.0,,nfl,Brandon Aubrey,,,,True,,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",1.0,Notre Dame,98.0,11533,,Brandon,aubrey,,Active,1454349.0,1995-03-14,,,,,110e6fe0-1c34-11ee-8294-af17faac15de,75,,872D94B3727D,brandonaubrey,,30.0,Plano Senior (TX),,,Aubrey,17649.0,17.0,['K'],218,,,K,brandon,,DAL,,[],1755951037881.0
,#amarloherrera-NFL-FA-56,5.0,,nfl,Amarlo Herrera,,28595.0,,False,,,,Georgia,9999999.0,2508,,Amarlo,herrera,2578542.0,Inactive,,1991-09-20,,,,,faf5f854-73af-4ab9-8f19-95ea75431d45,"6'1""",,,amarloherrera,,28.0,North Clayton,,,Herrera,10372.0,56.0,['LB'],249,,,LB,amarlo,16967.0,,,[],
,#kasimedebali-NFL-FA-95,8.0,,nfl,Kasim Edebali,,27923.0,,True,,{'channel_id': '1116852786479235072'},,Boston College,9999999.0,2199,,Kasim,edebali,17141.0,Inactive,,1989-08-17,,,00-0031255,,25a958c9-4035-43ad-8c9c-1309ea592e66,74,,,kasimedebali,498200.0,32.0,Kimball Union (NH),,,Edebali,9378.0,95.0,"['DL', 'LB']",253,,,DE,kasim,16570.0,,,[],1572497732686.0
,#tylerslavin-NFL-FA-13,1.0,,nfl,Tyler Slavin,,29002.0,,False,,,,New Mexico Highlands,9999999.0,2881,,Tyler,slavin,2516911.0,Inactive,,1992-01-29,,,,,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,"6'2""",,,tylerslavin,542556.0,26.0,,,,Slavin,10861.0,13.0,['WR'],215,,,WR,tyler,17349.0,,,[],
LOLB,#demarcuslawrence-NFL-SEA-0,11.0,,nfl,DeMarcus Lawrence,,27562.0,,True,,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",1.0,Boise State,570.0,2064,,DeMarcus,lawrence,16802.0,Active,651780.0,1992-04-28,,,00-0031411,,3e3bd10a-6462-47f8-8938-42518781d060,75,,4306CF8AB318,demarcuslawrence,,33.0,Silver Bluff (SC),,,Lawrence,9344.0,0.0,['DL'],254,,,DE,demarcus,16366.0,SEA,9633.0,[],1750009211759.0
,#lancedunbar-NFL-FA-25,8.0,,nfl,Lance Dunbar,,26064.0,,False,,,,North Texas,9999999.0,1284,,Lance,dunbar,15369.0,Inactive,,1990-01-25,,,,,9f0f0495-b5b8-45c2-866b-02d9f96087f7,"5'8""",,,lancedunbar,468901.0,30.0,Haltom (TX),,,Dunbar,8086.0,25.0,['RB'],187,,,RB,lance,14731.0,,7798.0,[],1520632201229.0
,#deandrewwhite-NFL-FA-18,7.0,,nfl,DeAndrew White,,28800.0,,True,,{'channel_id': '1116852821904326656'},,Alabama,9999999.0,2801,,DeAndrew,white,2515962.0,Inactive,,1991-10-16,,Questionable,00-0031511,,e0abf267-f265-4682-9bb7-72bbcefda451,72,,,deandrewwhite,557177.0,30.0,North Shore (TX),,,White,10243.0,18.0,['WR'],195,Undisclosed,,WR,deandrew,17269.0,,,[],1598920530064.0
,#devaroelawrence-NFL-FA-0,5.0,,nfl,Devaroe Lawrence,,30412.0,,True,,{'channel_id': '1116852977559142400'},,Auburn,1257.0,4501,,Devaroe,lawrence,3121581.0,Active,835146.0,1992-10-13,,,00-0033501,,87c4b182-e4bc-4f35-97ec-8537a2665875,74,,,devaroelawrence,,29.0,Carolina (SC),,,Lawrence,12173.0,0.0,['DL'],294,,,DT,devaroe,19373.0,,,[],1627877117922.0
,#deandrebaker-NFL-FA-30,3.0,,nfl,DeAndre Baker,,31862.0,,True,,{'channel_id': '1116853171138854912'},,Georgia,9999999.0,5852,,DeAndre,baker,3915163.0,Active,880521.0,1997-09-04,,, 00-0035684,,02d1b3c3-f292-4174-89fa-9ecc6286adb0,71,,,deandrebaker,,24.0,Miami Northwestern (FL),,,Baker,13475.0,30.0,['DB'],186,,,CB,deandre,21020.0,,,[],1660181717555.0
,#taylorthompson-NFL-FA-84,3.0,,nfl,Taylor Thompson,,,,False,,,,SMU,9999999.0,1073,,Taylor,thompson,15067.0,Inactive,,1989-10-19,,,,,c2c65162-07df-48fb-93ce-86f340afb688,"6'6""",,,taylorthompson,460898.0,27.0,,,,Thompson,,84.0,['TE'],268,,,TE,taylor,13881.0,,,[],
,#kevonseymour-NFL-FA-29,9.0,,nfl,Kevon Seymour,,29452.0,,True,,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",,USC,9999999.0,3374,,Kevon,seymour,2971603.0,Inactive,691066.0,1993-11-30,,Questionable,00-0032942,,e431a42b-5abe-49de-9c8c-f143f393591c,72,,0B131E4B26AA,kevonseymour,691066.0,31.0,Muir (CA),,,Seymour,11170.0,29.0,['DB'],188,Undisclosed,,CB,kevon,18135.0,,,[],1755740717239.0
,#coreystraughter-NFL-FA-0,1.0,,nfl,Corey Straughter,,,,True,,{'channel_id': '1116853451070898176'},,Louisiana-Monroe,,8012,,Corey,straughter,,Active,1067387.0,1998-10-16,,,,,a01a9064-c0c3-4f3e-8753-89f5859879f9,70,,,coreystraughter,,23.0,Neville (LA),,,Straughter,15702.0,0.0,['DB'],183,,,CB,corey,,,,[],
,#ajrose-NFL-FA-24,1.0,,nfl,A.J. Rose,,,,True,,{'channel_id': '1116853435631665152'},,Kentucky,311.0,7918,,A.J.,rose,,Active,920059.0,1997-10-14,,,,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,73,,,ajrose,,24.0,Garfield Heights (OH),,,Rose,15350.0,24.0,['RB'],212,,,RB,aj,,,,[],1661021115529.0
,#erikpears-NFL-FA-71,15.0,,nfl,Erik Pears,,7588.0,,False,,,,Colorado State,9999999.0,777,,Erik,pears,9399.0,Inactive,,1982-06-25,,,,,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,"6'8""",,,erikpears,,38.0,John F. Kennedy (CO),,,Pears,7124.0,71.0,['OL'],316,,,T,erik,12610.0,,,[],
,#decariushawthorne-NFL-FA-92,0.0,,nfl,Decarius Hawthorne,,,,True,,"{'channel_id': '1238264321964769280', 'rookie_year': '2025'}",,South Florida,9999999.0,13229,,Decarius,hawthorne,,Active,,,,,,,3e838e40-4637-11f0-8b96-73caf6d6c117,74,,,decariushawthorne,,,Center Point (AL),,,Hawthorne,19197.0,92.0,['DL'],290,,,DL,decarius,,,,[],1756107953603.0
,#rickyjeune-NFL-FA-2,4.0,,nfl,Ricky Jeune,,31388.0,,True,,{'channel_id': '1116853100703907840'},,Georgia Tech,9999999.0,5428,,Ricky,jeune,3055908.0,Active,,1993-12-03,,,,,e5395ca3-47d0-403b-84f5-41bfeba78e67,75,,,rickyjeune,748570.0,28.0,Saint Joseph Regional (NJ),,,Jeune,13096.0,2.0,['WR'],212,,,WR,ricky,20526.0,,,[],1535476203701.0
,#aaroncolvin-NFL-FA-34,8.0,,nfl,Aaron Colvin,,27642.0,,True,,{'channel_id': '1116852771618816000'},,Oklahoma,9999999.0,1982,,Aaron,colvin,16900.0,Active,,1991-10-02,,,00-0031259,,76c630cf-0fd3-4210-a73d-9347da9d9d66,72,,,aaroncolvin,542873.0,30.0,Owasso (OK),,,Colvin,9337.0,34.0,['DB'],191,,,CB,aaron,16249.0,,9348.0,[],1599351058114.0
,#marquiswilson-NFL-FA,1.0,,nfl,Marquis Wilson,,,,True,,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",,Purdue,9999999.0,12376,,Marquis,wilson,,Active,,,,,,,07923890-0e3a-11ef-9a4a-c565d3259077,71,,,marquiswilson,,,Avon Old Farms (CT),,,Wilson,,,['DB'],185,,,DB,marquis,,,,[],
,#christianuphoff-NFL-FA-0,1.0,,nfl,Christian Uphoff,,,,True,,{'channel_id': '1116853428480376832'},,Illinois State,,7882,,Christian,uphoff,,Active,943834.0,1998-01-22,,,,,2b02fad4-574c-4a40-ab7d-43aca2142b66,75,,,christianuphoff,,23.0,Washington (IL),,,Uphoff,15476.0,0.0,['DB'],195,,,DB,christian,,,,[],
RILB,#jakehummel-NFL-BAL-35,3.0,,nfl,Jake Hummel,,,,True,,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",2.0,Iowa State,9999999.0,8733,,Jake,hummel,,Active,1058624.0,1999-01-04,,,,,0c7ceb00-d207-11ec-ab20-b37737d70cc4,73,,6592B272CCBB,jakehummel,,26.0,Dowling Catholic (IA),,,Hummel,16270.0,35.0,['LB'],235,,,LB,jake,,BAL,,[],1753806622728.0
,#brettgabbert-NFL-FA-16,0.0,,nfl,Brett Gabbert,,,,True,,"{'channel_id': '1231394003711180800', 'rookie_year': '0'}",,Miami (OH),999.0,13221,,Brett,gabbert,,Active,,2000-08-04,,,,,08f0fef0-3748-11f0-9677-41d005293433,72,,0D57BED3D0B2DB99,brettgabbert,,24.0,Christian Brothers College (MO),,,Gabbert,19192.0,16.0,['QB'],206,,,QB,brett,,,,[],1754250907948.0
,#jeromekapp-NFL-FA-31,1.0,,nfl,Jerome Kapp,,,,True,,{'channel_id': '1116852698889584640'},,Kutztown,622.0,11522,,Jerome,kapp,,Active,1448292.0,1999-04-07,,,,,64c0ef00-fa65-11ed-b161-c5ef733b4e80,75,,,jeromekapp,,24.0,Boyertown Area Senior (PA),,,Kapp,17644.0,31.0,['WR'],210,,,WR,jerome,,,,[],1693334405078.0
,#nickboyle-NFL-FA-86,8.0,,nfl,Nick Boyle,,28559.0,,True,,{'channel_id': '1116852808646131712'},,Delaware,9999999.0,2474,,Nick,boyle,2574591.0,Active,608753.0,1993-02-17,,,00-0031598,,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,76,,,nickboyle,608753.0,29.0,High Point Regional (NJ),,,Boyle,10252.0,86.0,['TE'],261,,,TE,nick,16931.0,,10547.0,[],1673388617497.0
,#tyclary-NFL-FA-0,0.0,,nfl,Ty Clary,,,,True,,"{'channel_id': '1116853538769600512', 'rookie_year': ''}",,Arkansas,9999999.0,8852,,Ty,clary,,Active,1060719.0,1999-05-07,,,,,c22d7080-d3b2-11ec-96a0-c3471a31202c,76,,,tyclary,,25.0,Fayetteville (AR),,,Clary,,0.0,['OL'],299,,,OL,ty,,,,[],
,#aaronshampklin-NFL-FA-48,3.0,,nfl,Aaron Shampklin,,,,True,,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",,Harvard,672.0,8809,,Aaron,shampklin,,Active,1051044.0,1999-10-18,,,,,c09be300-d30d-11ec-8b77-45b1765fd110,70,,8C27E3A10D7A,aaronshampklin,,25.0,Long Beach Polytechnic (CA),,,Shampklin,16367.0,48.0,['RB'],195,,,RB,aaron,,,,[],1756225808845.0
SWR,#parkerwashington-NFL-JAX-11,2.0,,nfl,Parker Washington,,,,True,,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",4.0,Penn State,444.0,9487,,Parker,washington,,Active,1229074.0,2002-03-21,,,,,c05863ec-3414-4ae6-a8d2-830aed99b6d3,70,,6C394246A6D8,parkerwashington,,23.0,Travis (TX),,,Washington,16690.0,11.0,['WR'],204,,,WR,parker,,JAX,,[],1754590841195.0
FS,#genostone-NFL-CIN-22,5.0,,nfl,Geno Stone,,32889.0,,True,,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",1.0,Iowa,624.0,6923,,Geno,stone,4240575.0,Active,1059222.0,1999-04-19,,,,,95f3b8ac-e10f-4f0d-8650-b464b37ded86,71,,403AA74AF980,genostone,,26.0,New Castle (PA),,,Stone,14474.0,22.0,['DB'],210,,,DB,geno,21931.0,CIN,,[],1755272458117.0
,#johnnymanziel-NFL-FA-2,6.0,,nfl,Johnny Manziel,,27550.0,,False,,,,Texas A&M,9999999.0,1907,,Johnny,manziel,16736.0,Inactive,,1992-12-06,,,,,7ebbfdef-1185-4896-a323-e6d5669a8345,"6'0""",,,johnnymanziel,593578.0,27.0,Tivy (TX),,,Manziel,9246.0,2.0,['QB'],210,,,QB,johnny,16135.0,,9271.0,[],1552834853016.0
,#joegaziano-NFL-FA-90,5.0,,nfl,Joe Gaziano,,32982.0,,True,,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",,Northwestern,9999999.0,7325,,Joe,gaziano,3915990.0,Active,880210.0,1996-09-27,,,,,bab100c6-1a6c-4411-9286-f719244f5d35,76,,4F578D605AAF,joegaziano,,28.0,Xaverian Brothers (MA),,,Gaziano,15065.0,90.0,['DL'],280,,,DE,joe,22317.0,,,[],1754644241341.0
,#jarridwilliams-NFL-FA-76,1.0,,nfl,Jarrid Williams,,,,True,,{'channel_id': '1116853519173812224'},,Miami (FL),9999999.0,8716,,Jarrid,williams,,Active,877900.0,1997-07-02,,,,,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,78,,,jarridwilliams,,26.0,Cedar Hill (TX),,,Williams,16329.0,76.0,['OL'],308,,,OL,jarrid,,,,[],1691094646911.0
,#brockruble-NFL-FA-72,3.0,,nfl,Brock Ruble,,32485.0,,True,,{'channel_id': '1116853286427688960'},,Toledo,9999999.0,6648,,Brock,ruble,3122934.0,Active,,1996-01-07,,, 00-0035477,,89fc014a-7d41-40c9-90d1-1459286813e2,80,,,brockruble,,26.0,DeMatha Catholic,,,Ruble,14291.0,72.0,['OL'],325,,,OT,brock,21539.0,,,[],
,#jakeemgrant-NFL-FA-84,8.0,,nfl,Jakeem Grant,,29420.0,,True,,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",,Texas Tech,662.0,3342,,Jakeem,grant,2577641.0,Active,605325.0,1992-10-30,,,00-0032791,,5de11f0b-8da9-42ba-9a93-db7f0a58543b,67,,2CDE42756969,jakeemgrant,605325.0,32.0,Horn (TX),,,Grant,10990.0,84.0,['WR'],172,,,WR,jakeem,18103.0,,11475.0,[],1734242151808.0
,#jaronbrown-NFL-FA-18,9.0,,nfl,Jaron Brown,,27074.0,,True,,{'channel_id': '1116852755042926592'},,Clemson,763.0,1684,,Jaron,brown,16172.0,Active,,1990-01-08,,,00-0030300,,51952c7b-11c5-4229-baf9-08d4694cc2ad,75,,,jaronbrown,463514.0,32.0,Cheraw (SC),,,Brown,9046.0,18.0,['WR'],205,,,WR,jaron,15509.0,,8869.0,[],1602620149319.0
SS,#ericmurray-NFL-JAX-29,9.0,,nfl,Eric Murray,,29340.0,,True,,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",1.0,Minnesota,9999999.0,3268,,Eric,murray,2970716.0,Active,651636.0,1994-01-07,,,00-0033038,,16e4ffec-959d-4210-8702-36c0bf20dda5,71,,DFF0CE83247F,ericmurray,,31.0,Riverside (WI),,,Murray,11141.0,29.0,['DB'],199,,,DB,eric,18029.0,JAX,,[],1741674361581.0
,#nicholasmorrow-NFL-FA-43,8.0,,nfl,Nicholas Morrow,,30633.0,,True,,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",,Greenville,500.0,4449,,Nicholas,morrow,4232830.0,Active,1050219.0,1995-07-10,,,00-0033445,,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,72,,DB8EDD57A8EC,nicholasmorrow,,29.0,Huntsville (AL),,,Morrow,12428.0,43.0,['LB'],216,,,LB,nicholas,19310.0,,,[],1735865416050.0
,#joshuapryor-NFL-FA-47,1.0,,nfl,Joshua Pryor,,,,True,,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",,Bowie State,9999999.0,11072,,Joshua,pryor,,Active,1334826.0,1999-10-25,,,,,fa4e3720-e760-11ed-a510-95de71e69612,76,,C7E7375D12FB,joshuapryor,,24.0,Paul Laurence Dunbar (MD),,,Pryor,17615.0,47.0,['DL'],280,,,DL,joshua,,,,[],1700343030178.0
RB,#salvonahmed-NFL-IND-36,5.0,,nfl,Salvon Ahmed,,33265.0,,True,,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",4.0,Washington,386.0,6918,,Salvon,ahmed,4243315.0,Inactive,1049246.0,1998-12-30,,IR,,,0dbbd211-0372-4751-9751-e4df4ab1f8eb,71,,998715B4D91F,salvonahmed,,26.0,Juanita (WA),,,Ahmed,14453.0,36.0,['RB'],197,Ankle,,RB,salvon,21843.0,IND,,[],1754694945192.0
,#tommysweeney-NFL-FA-87,6.0,,nfl,Tommy Sweeney,,32060.0,,True,,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",,Boston College,9999999.0,6137,,Tommy,sweeney,3122818.0,Active,836094.0,1995-07-01,,Out, 00-0035308,,ec63ee49-3a03-44ca-a083-3916f0bccd76,77,,BAB992EBEF7A,tommysweeney,836094.0,29.0,Don Bosco Prep (NJ),,,Sweeney,13667.0,87.0,['TE'],255,Undisclosed,,TE,tommy,20957.0,,,[],1729806320462.0
,#jasonivey-NFL-FA-72,0.0,,nfl,Jason Ivey,,,,True,,"{'channel_id': '1222062624800247808', 'rookie_year': '2025'}",,North Carolina A&T,9999999.0,12784,,Jason,ivey,,Active,,,,,,,692c0a10-2313-11f0-8b96-b1b768d28795,77,,DD416D5CB3BFBAA4,jasonivey,,,South Mecklenburg (NC),,,Ivey,,72.0,['OL'],300,,,OL,jason,,,,[],
RDE,#mykelwilliams-NFL-SF-98,0.0,,nfl,Mykel Williams,,,,True,,"{'channel_id': '1221352992523952128', 'rookie_year': '2025', 'source_id': '54326870-84a6-11ec-a2e6-affc80bcd2fc'}",1.0,Georgia,337.0,12602,,Mykel,williams,,Active,,2004-06-29,,Questionable,,,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,79,,8E27972C8FB706B4,mykelwilliams,,21.0,Hardaway (GA),,,Williams,18584.0,98.0,['DL'],267,Ankle,,DL,mykel,,SF,,[],1755373814774.0
,#bradcecil-NFL-FA,2.0,,nfl,Brad Cecil,,,,True,,"{'channel_id': '1116852678471712768', 'rookie_year': '2023'}",,South Florida,9999999.0,11340,,Brad,cecil,,Active,1124148.0,1999-12-29,,,,,c242e360-ec6c-11ed-9b1c-797c54fc9d07,76,,,bradcecil,,25.0,Bartram Trail (FL),,,Cecil,,,['OL'],300,,,OL,brad,,,,[],
OL,#aaronstinnie-NFL-NYG-64,7.0,,nfl,Aaron Stinnie,,31619.0,,True,,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",,James Madison,9999999.0,5668,,Aaron,stinnie,3049339.0,Active,750486.0,1994-02-18,,,00-0034668,,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,75,,15D6D87D37FB,aaronstinnie,,31.0,St. Anne's-Belfield (VA),,,Stinnie,13303.0,64.0,"['OG', 'OL']",312,,,G,aaron,20379.0,NYG,,[],1743032417495.0
DB,#jjroberts-NFL-TB-36,0.0,,nfl,JJ Roberts,,,,True,,"{'channel_id': '1223497110247190528', 'rookie_year': '2025'}",,Marshall,699.0,13132,,JJ,roberts,,Inactive,,2001-09-22,,IR,,,266a09c0-262e-11f0-9779-dd9f3cf183b7,72,,9148DF6B7A1F3CAA,jjroberts,,23.0,Cabell Midland (WV),,,Roberts,19064.0,36.0,['DB'],195,Knee,,DB,jj,,TB,,[],1755570034925.0
,#brycewilliams-NFL-FA-80,6.0,,nfl,Bryce Williams,,29879.0,,True,,{'channel_id': '1116852875503337472'},,East Carolina,9999999.0,3561,,Bryce,williams,2981998.0,Active,,1993-02-24,,,00-0032583,,a204547e-ecd3-4116-909a-ce823caa9067,78,,,brycewilliams,609814.0,28.0,North Davidson,,,Williams,10946.0,80.0,['TE'],258,,,TE,bryce,18334.0,,,[],1523486701657.0
,#ryanwhalen-NFL-FA-81,3.0,,nfl,Ryan Whalen,,24954.0,,False,,,,Stanford,9999999.0,832,,Ryan,whalen,14131.0,Inactive,,1989-07-26,,,,,4a99b4bf-e03e-4253-8b9b-c070ef796daf,"6'1""",,,ryanwhalen,,29.0,,,,Whalen,7411.0,81.0,['WR'],202,,,WR,ryan,12857.0,,,[],
OL,#cameronwilliams-NFL-PHI-73,0.0,,nfl,Cameron Williams,,,,True,,"{'channel_id': '1221987078728855552', 'rookie_year': '2025', 'source_id': 'cfa4c670-8f54-11ec-9f33-1965c9c46e44'}",,Texas,9999999.0,12586,,Cameron,williams,,Active,,2003-10-16,,,,,8b7504e3-c5ce-4e91-90d1-2bd8e975c5ed,77,,E4D4B612B4AACB3B,cameronwilliams,,21.0,Duncanville (TX),,,Williams,18504.0,73.0,['OL'],317,,,OL,cameron,,PHI,,[],1745702136125.0
,#duplicateplayer-NFL-FA-0,0.0,,nfl,Duplicate Player,,,,False,,,,,9999999.0,6751,,Duplicate,player,,Inactive,,,,,,,,,,,duplicateplayer,820437.0,,,,,Player,,0.0,,,,,,duplicate,21668.0,,12292.0,[],
,#kylemurphy-NFL-NO-79,6.0,,nfl,Kyle Murphy,,29434.0,,True,,{'channel_id': '1116852854489874432'},,Stanford,9999999.0,3356,,Kyle,murphy,2978275.0,Active,691007.0,1993-12-11,,,00-0032433,,cce52ea1-7e17-4992-8911-e6b07b7b3831,78,,,kylemurphy,,28.0,San Clemente (CA),,,Murphy,11140.0,79.0,"['OL', 'OT']",305,,,OT,kyle,18117.0,NO,,[],1640054416821.0
